collection_name,token_id,date,trades
Doodles,36,10/18/21,2
Bored Ape Yacht Club,36,10/27/21,2
Bored Ape Kennel Club,36,12/4/21,2
Cool Cats,36,12/12/21,2
Bored Ape Yacht Club,37,6/22/21,2
World of Women,37,8/2/21,2
CrypToadz,37,12/27/21,2
Cool Cats,37,2/27/22,5
Bored Ape Kennel Club,38,6/19/21,2
Bored Ape Kennel Club,38,7/14/21,2
Mutant Ape Yacht Club,38,8/29/21,2
Mutant Ape Yacht Club,38,9/23/21,3
Cryptopunks,39,2/4/21,3
Meebits,39,7/17/21,2
Bored Ape Yacht Club,39,8/27/21,2
Bored Ape Yacht Club,39,8/28/21,2
Doodles,39,10/18/21,2
Mutant Ape Yacht Club,39,12/26/21,2
Mutant Ape Yacht Club,39,2/26/22,2
Cryptopunks,39,3/17/22,2
Mutant Ape Yacht Club,39,4/1/22,5
Cool Cats,40,7/20/21,2
Mutant Ape Yacht Club,40,8/29/21,2
CloneX,40,2/13/22,2
Bored Ape Kennel Club,41,8/14/21,2
Bored Ape Yacht Club,41,8/28/21,2
Bored Ape Yacht Club,41,8/31/21,3
CrypToadz,41,9/9/21,3
CrypToadz,41,9/15/21,3
CrypToadz,41,10/1/21,3
CrypToadz,41,10/14/21,3
CrypToadz,41,10/15/21,2
CloneX,41,12/16/21,2
Cryptopunks,41,3/17/22,3
Bored Ape Yacht Club,42,5/9/21,2
dotdotdots,42,9/1/21,2
dotdotdots,42,9/2/21,2
Loot,42,9/3/21,4
CrypToadz,42,9/17/21,4
Bored Ape Yacht Club,43,8/28/21,2
Mutant Ape Yacht Club,43,8/29/21,2
dotdotdots,43,8/31/21,3
CrypToadz,43,9/10/21,2
Doodles,43,10/23/21,2
Mutant Ape Yacht Club,43,11/27/21,2
CloneX,43,12/13/21,2
Doodles,43,1/22/22,2
Mutant Ape Yacht Club,44,8/29/21,2
dotdotdots,44,8/31/21,3
Mutant Ape Yacht Club,44,9/1/21,2
CrypToadz,44,9/9/21,2
Cryptopunks,44,3/17/22,2
Cool Cats,45,8/29/21,2
Bored Ape Kennel Club,45,8/31/21,4
CrypToadz,45,10/21/21,3
Bored Ape Yacht Club,45,11/12/21,2
CrypToadz,45,12/11/21,6
Bored Ape Kennel Club,45,2/5/22,2
Mutant Ape Yacht Club,45,3/17/22,2
Mutant Ape Yacht Club,45,3/18/22,2
Doodles,45,4/1/22,2
Mutant Ape Yacht Club,46,8/29/21,2
dotdotdots,46,8/31/21,2
CrypToadz,46,9/12/21,2
Cool Cats,46,1/13/22,3
Mutant Ape Yacht Club,46,1/23/22,2
CrypToadz,46,3/11/22,2
Cool Cats,47,9/27/21,2
Doodles,47,12/23/21,5
Meebits,47,3/17/22,2
Mutant Ape Yacht Club,47,3/25/22,2
Doodles,48,11/24/21,2
CloneX,48,2/5/22,2
Cryptopunks,49,2/4/21,3
Cool Cats,49,7/2/21,2
Mutant Ape Yacht Club,49,8/29/21,2
dotdotdots,49,9/1/21,2
Doodles,49,11/22/21,2
CloneX,49,2/19/22,2
Meebits,50,6/25/21,2
Bored Ape Kennel Club,50,7/17/21,2
Mutant Ape Yacht Club,50,8/29/21,3
Meebits,50,9/1/21,2
Loot,50,9/6/21,3
CrypToadz,50,10/6/21,2
Cryptopunks,51,2/4/21,3
Bored Ape Kennel Club,51,8/23/21,2
Bored Ape Yacht Club,51,9/3/21,2
Cool Cats,51,9/12/21,2
CrypToadz,51,9/16/21,2
CrypToadz,51,10/5/21,2
Doodles,51,12/10/21,2
Cool Cats,51,3/2/22,2
Bored Ape Yacht Club,51,3/12/22,2
Meebits,51,3/17/22,2
Mutant Ape Yacht Club,51,3/28/22,2
Meebits,52,5/5/21,2
Doodles,52,10/28/21,2
Cool Cats,52,1/11/22,2
Cool Cats,53,7/7/21,2
CrypToadz,53,9/15/21,3
World of Women,53,9/30/21,2
CloneX,53,3/24/22,2
Bored Ape Kennel Club,54,7/24/21,2
Mutant Ape Yacht Club,54,8/29/21,3
Loot,54,9/2/21,2
Meebits,54,9/6/21,2
CloneX,54,12/12/21,2
Bored Ape Kennel Club,54,1/2/22,2
CloneX,54,4/3/22,2
Mutant Ape Yacht Club,55,8/29/21,2
Mutant Ape Yacht Club,55,8/30/21,2
Meebits,55,9/4/21,2
Doodles,55,10/26/21,2
CrypToadz,55,12/12/21,2
CloneX,55,1/2/22,3
CrypToadz,55,1/3/22,2
World of Women,55,1/13/22,2
Bored Ape Kennel Club,55,1/16/22,2
CloneX,55,2/2/22,2
CloneX,55,2/3/22,3
Mutant Ape Yacht Club,55,3/17/22,2
Bored Ape Kennel Club,55,3/23/22,3
Terraform,55,4/12/22,2
Mutant Ape Yacht Club,56,8/29/21,2
Bored Ape Yacht Club,56,9/16/21,2
Bored Ape Yacht Club,56,9/27/21,2
Bored Ape Yacht Club,56,9/28/21,3
Bored Ape Yacht Club,56,11/17/21,2
Doodles,56,12/2/21,2
Cryptopunks,56,3/17/22,2
Mutant Ape Yacht Club,56,3/28/22,2
Mutant Ape Yacht Club,57,8/29/21,3
Loot,57,9/2/21,2
CloneX,57,12/14/21,2
Meebits,57,3/17/22,2
Bored Ape Kennel Club,57,3/24/22,2
Bored Ape Kennel Club,58,6/19/21,2
Mutant Ape Yacht Club,58,8/29/21,2
CrypToadz,58,9/11/21,2
Doodles,58,11/5/21,2
Doodles,58,11/8/21,2
Meebits,58,1/24/22,2
dotdotdots,59,9/1/21,2
Cryptopunks,60,2/4/21,3
Bored Ape Kennel Club,60,8/30/21,2
Doodles,60,10/18/21,2
Mutant Ape Yacht Club,60,10/21/21,3
Bored Ape Kennel Club,60,10/29/21,2
Bored Ape Kennel Club,60,11/15/21,2
CrypToadz,60,3/19/22,3
World of Women,60,3/20/22,3
World of Women,60,3/23/22,2
World of Women,60,3/26/22,2
Cool Cats,61,7/7/21,2
Bored Ape Kennel Club,61,8/24/21,3
Bored Ape Kennel Club,61,9/1/21,3
CrypToadz,61,12/20/21,2
Cool Cats,61,1/16/22,3
Doodles,61,2/24/22,2
Meebits,61,3/17/22,2
Bored Ape Kennel Club,62,8/30/21,2
Bored Ape Kennel Club,62,9/8/21,2
CrypToadz,62,9/15/21,2
CrypToadz,62,10/12/21,2
Doodles,62,11/26/21,2
Mutant Ape Yacht Club,62,12/27/21,2
Mutant Ape Yacht Club,62,2/16/22,2
Mutant Ape Yacht Club,62,2/17/22,3
Cryptopunks,63,2/4/21,3
Bored Ape Kennel Club,63,6/30/21,2
Mutant Ape Yacht Club,64,9/6/21,3
Doodles,64,3/25/22,3
Bored Ape Yacht Club,65,5/4/21,2
Mutant Ape Yacht Club,65,8/29/21,3
CrypToadz,65,11/19/21,2
Bored Ape Yacht Club,65,12/4/21,9
Doodles,65,1/14/22,2
CloneX,65,4/3/22,2
Bored Ape Kennel Club,66,2/5/22,5
Bored Ape Yacht Club,67,5/3/21,2
Bored Ape Yacht Club,67,8/1/21,2
World of Women,67,8/25/21,2
CrypToadz,67,9/9/21,2
Doodles,67,10/18/21,3
Loot,67,11/20/21,2
CrypToadz,67,12/11/21,3
Doodles,67,3/22/22,2
Doodles,67,3/24/22,2
Cryptopunks,68,2/4/21,3
Meebits,68,3/17/22,2
Cryptopunks,69,2/4/21,3
Bored Ape Kennel Club,69,7/15/21,2
Mutant Ape Yacht Club,69,8/29/21,2
CrypToadz,69,9/9/21,2
CrypToadz,69,10/21/21,3
Bored Ape Kennel Club,69,1/14/22,2
Cool Cats,69,3/13/22,3
CrypToadz,70,9/9/21,3
CrypToadz,70,9/30/21,2
Mutant Ape Yacht Club,70,1/28/22,3
Bored Ape Yacht Club,70,3/19/22,2
Cool Cats,71,8/9/21,2
Cool Cats,71,9/3/21,2
Cool Cats,71,9/8/21,2
Cool Cats,71,9/14/21,2
Bored Ape Yacht Club,71,9/18/21,3
Bored Ape Yacht Club,71,9/29/21,2
Bored Ape Yacht Club,71,10/16/21,2
Mutant Ape Yacht Club,71,11/14/21,2
Terraform,71,12/19/21,2
Meebits,71,3/17/22,2
Bored Ape Yacht Club,71,3/21/22,3
dotdotdots,72,8/31/21,2
Loot,72,9/7/21,2
CloneX,72,12/15/21,2
Cool Cats,73,7/11/21,2
Cool Cats,73,9/1/21,2
Cool Cats,73,9/8/21,2
Cryptopunks,74,2/4/21,3
Bored Ape Yacht Club,74,5/1/21,2
Cool Cats,74,7/20/21,2
Cool Cats,74,7/26/21,2
Mutant Ape Yacht Club,74,9/1/21,3
Doodles,74,10/21/21,2
Doodles,74,3/1/22,2
Meebits,74,3/24/22,2
Cool Cats,75,8/30/21,2
Loot,75,9/7/21,2
CrypToadz,75,9/9/21,3
Loot,75,9/20/21,2
CrypToadz,75,11/4/21,3
CrypToadz,75,11/5/21,2
CrypToadz,75,12/12/21,4
Doodles,75,1/7/22,2
Doodles,75,2/4/22,2
Doodles,75,2/13/22,2
Mutant Ape Yacht Club,75,3/17/22,3
Bored Ape Yacht Club,76,6/6/21,2
Cool Cats,76,7/20/21,2
Bored Ape Kennel Club,76,8/5/21,3
Mutant Ape Yacht Club,76,8/30/21,2
CrypToadz,76,9/9/21,3
CloneX,76,12/15/21,2
Mutant Ape Yacht Club,77,8/30/21,2
Cool Cats,77,9/9/21,3
Doodles,77,3/1/22,2
Cryptopunks,77,3/17/22,2
Bored Ape Kennel Club,77,3/31/22,2
Cryptopunks,78,2/4/21,3
CloneX,78,3/3/22,2
Doodles,78,3/7/22,2
Cryptopunks,78,3/17/22,2
Cryptopunks,79,2/4/21,3
Bored Ape Yacht Club,79,5/1/21,2
Cool Cats,79,7/13/21,2
Bored Ape Yacht Club,79,8/6/21,2
CrypToadz,79,9/9/21,2
Bored Ape Yacht Club,79,10/3/21,3
Cool Cats,79,11/11/21,2
Mutant Ape Yacht Club,79,1/8/22,3
Mutant Ape Yacht Club,79,1/15/22,2
Doodles,79,1/23/22,2
Cool Cats,79,2/18/22,2
Mutant Ape Yacht Club,79,2/24/22,2
Bored Ape Yacht Club,79,3/18/22,2
Bored Ape Kennel Club,80,7/17/21,2
Mutant Ape Yacht Club,80,9/1/21,2
Doodles,80,12/2/21,2
Doodles,80,1/5/22,2
Doodles,80,3/1/22,3
Terraform,80,3/9/22,2
Mutant Ape Yacht Club,80,3/17/22,5
World of Women,80,4/13/22,2
dotdotdots,81,9/1/21,2
CrypToadz,81,9/9/21,2
Bored Ape Kennel Club,81,9/24/21,2
CrypToadz,81,10/18/21,2
Doodles,81,3/1/22,2
Bored Ape Kennel Club,81,4/2/22,3
Mutant Ape Yacht Club,82,9/23/21,2
Bored Ape Yacht Club,83,6/25/21,2
CrypToadz,83,9/9/21,2
Meebits,83,3/11/22,2
Cryptopunks,84,2/4/21,3
Mutant Ape Yacht Club,84,8/29/21,3
Bored Ape Yacht Club,85,5/2/21,2
CrypToadz,85,10/19/21,2
CrypToadz,85,10/21/21,6
CrypToadz,85,10/22/21,2
CrypToadz,85,12/11/21,13
CrypToadz,85,1/14/22,5
CrypToadz,85,1/15/22,2
CrypToadz,85,2/5/22,4
Doodles,85,3/1/22,2
CrypToadz,85,3/19/22,2
Bored Ape Yacht Club,86,5/2/21,2
Bored Ape Yacht Club,86,5/3/21,2
Cool Cats,86,7/1/21,2
Cool Cats,86,7/3/21,2
dotdotdots,86,8/31/21,2
Loot,86,9/4/21,2
CrypToadz,86,9/9/21,2
Cool Cats,86,9/13/21,2
CrypToadz,86,9/15/21,2
Cool Cats,86,9/21/21,3
Bored Ape Yacht Club,86,12/9/21,2
Mutant Ape Yacht Club,86,1/2/22,2
Bored Ape Kennel Club,86,1/23/22,2
Mutant Ape Yacht Club,86,3/17/22,3
Bored Ape Yacht Club,86,3/28/22,2
Cool Cats,87,7/30/21,2
Mutant Ape Yacht Club,87,8/29/21,2
Mutant Ape Yacht Club,87,8/30/21,2
Mutant Ape Yacht Club,87,10/14/21,2
Doodles,87,10/17/21,2
Doodles,87,10/23/21,2
Doodles,87,3/22/22,2
Bored Ape Kennel Club,88,7/8/21,2
Mutant Ape Yacht Club,88,8/29/21,2
Mutant Ape Yacht Club,89,8/29/21,2
Doodles,89,1/31/22,2
Meebits,90,8/22/21,2
Mutant Ape Yacht Club,90,8/29/21,2
Cool Cats,90,9/13/21,2
Doodles,90,10/18/21,2
Mutant Ape Yacht Club,90,11/17/21,2
Loot,90,12/22/21,2
Bored Ape Kennel Club,90,12/25/21,2
CrypToadz,90,1/13/22,2
CloneX,90,3/23/22,2
Bored Ape Yacht Club,91,5/27/21,2
Cool Cats,91,8/22/21,2
Cryptopunks,91,3/17/22,2
Bored Ape Yacht Club,92,5/31/21,2
Cool Cats,92,7/7/21,2
Bored Ape Yacht Club,92,8/28/21,2
Mutant Ape Yacht Club,92,8/29/21,2
CrypToadz,92,9/9/21,2
Mutant Ape Yacht Club,92,1/10/22,3
Mutant Ape Yacht Club,92,1/20/22,2
World of Women,92,3/18/22,2
CrypToadz,92,3/19/22,3
Bored Ape Yacht Club,93,5/3/21,2
Mutant Ape Yacht Club,93,8/29/21,3
Mutant Ape Yacht Club,93,9/1/21,2
CrypToadz,93,9/9/21,2
Cool Cats,93,10/23/21,2
CrypToadz,93,11/30/21,2
World of Women,93,1/5/22,2
Cool Cats,94,7/16/21,2
Bored Ape Kennel Club,94,8/22/21,2
CrypToadz,94,9/9/21,3
CrypToadz,94,9/30/21,2
CrypToadz,94,1/31/22,2
Cryptopunks,95,2/4/21,3
Mutant Ape Yacht Club,95,9/1/21,5
Mutant Ape Yacht Club,95,1/28/22,2
Meebits,95,3/17/22,2
Loot,96,9/2/21,2
CrypToadz,96,9/9/21,3
CrypToadz,96,9/17/21,2
CrypToadz,96,10/3/21,3
World of Women,96,1/8/22,2
Bored Ape Kennel Club,97,8/21/21,2
dotdotdots,97,9/1/21,4
Loot,97,9/18/21,2
Meebits,97,1/12/22,10
Meebits,97,1/13/22,5
CrypToadz,97,1/14/22,3
Meebits,97,1/19/22,2
CrypToadz,97,1/20/22,5
Meebits,97,1/21/22,4
Meebits,97,1/22/22,4
Meebits,97,1/23/22,5
Meebits,97,1/24/22,4
CrypToadz,97,1/25/22,5
Meebits,97,1/26/22,4
Meebits,97,1/29/22,3
Meebits,97,1/31/22,4
Meebits,97,2/7/22,4
Mutant Ape Yacht Club,98,8/29/21,2
Bored Ape Kennel Club,98,11/4/21,3
Mutant Ape Yacht Club,98,11/20/21,3
Loot,98,12/9/21,2
Bored Ape Kennel Club,98,12/21/21,2
Bored Ape Kennel Club,98,12/23/21,2
CrypToadz,98,1/20/22,2
Azuki,98,2/13/22,2
Mutant Ape Yacht Club,98,3/17/22,3
Mutant Ape Yacht Club,99,8/29/21,2
Mutant Ape Yacht Club,99,10/29/21,2
CrypToadz,99,1/29/22,2
Bored Ape Kennel Club,99,1/30/22,2
Bored Ape Kennel Club,99,3/16/22,2
Cryptopunks,99,3/17/22,3
Bored Ape Yacht Club,100,9/23/21,2
Doodles,100,10/22/21,2
Doodles,100,10/26/21,2
Mutant Ape Yacht Club,100,2/7/22,3
Mutant Ape Yacht Club,100,2/8/22,4
Mutant Ape Yacht Club,100,2/23/22,7
Meebits,100,3/17/22,2
World of Women,100,3/19/22,3
Mutant Ape Yacht Club,101,8/29/21,2
CrypToadz,101,9/9/21,4
Bored Ape Kennel Club,101,1/6/22,2
Doodles,101,3/11/22,2
Cryptopunks,101,3/17/22,3
CloneX,101,3/30/22,2
Bored Ape Kennel Club,101,4/1/22,2
Cool Cats,102,8/11/21,2
Mutant Ape Yacht Club,102,8/29/21,2
Doodles,102,10/18/21,2
World of Women,102,1/10/22,2
Bored Ape Yacht Club,103,8/28/21,2
Mutant Ape Yacht Club,103,8/29/21,2
Meebits,103,12/4/21,2
Bored Ape Kennel Club,104,7/14/21,4
Cool Cats,104,7/21/21,2
Mutant Ape Yacht Club,104,8/29/21,3
Loot,104,9/2/21,3
Mutant Ape Yacht Club,105,8/29/21,2
CrypToadz,105,10/4/21,2
Doodles,105,1/1/22,2
Cool Cats,105,1/8/22,2
Bored Ape Yacht Club,105,3/14/22,3
Meebits,105,3/17/22,2
Bored Ape Yacht Club,105,3/21/22,3
Mutant Ape Yacht Club,106,8/29/21,4
CrypToadz,106,10/19/21,2
CloneX,106,12/22/21,2
CrypToadz,106,3/19/22,2
Mutant Ape Yacht Club,107,8/29/21,4
dotdotdots,107,8/31/21,2
Meebits,107,10/19/21,2
Meebits,107,10/25/21,4
CrypToadz,107,12/30/21,3
Doodles,107,1/17/22,2
CloneX,107,3/2/22,2
dotdotdots,108,8/31/21,2
Bored Ape Kennel Club,108,9/1/21,2
Cool Cats,108,11/13/21,2
World of Women,108,12/9/21,2
Terraform,108,12/18/21,3
Cool Cats,109,8/29/21,2
