dotdotdots,1948,4251.77211
dotdotdots,2211,1472.019737
dotdotdots,4638,535.4015454
dotdotdots,2682,355.908945
dotdotdots,4428,119.9424373
dotdotdots,1615,103.8066782
dotdotdots,1189,57.42242934
dotdotdots,1479,51.74315326
dotdotdots,1366,18.62458053
dotdotdots,4648,18.17727035
dotdotdots,4327,15.25324158
dotdotdots,642,12.21626824
dotdotdots,1828,6.461583871
World of Women,5375,38.8967865
World of Women,9459,38.8967865
World of Women,1948,29.66279625
World of Women,4878,29.66279625
World of Women,8124,14.55644015
World of Women,8886,10.29015516
World of Women,1315,5.89439837
World of Women,1422,5.89439837
World of Women,5097,4.782781617
World of Women,4358,2.206694723
World of Women,7215,1.908111341
World of Women,326,1.885618083
World of Women,7858,0.826028138
World of Women,6954,0.727747539
World of Women,9358,0.725730916
Terraform,9559,143446.9264
Terraform,9728,137137.6036
Terraform,5283,135192.0283
Terraform,3083,1739.548536
Terraform,9254,1134.24213
Terraform,8634,948.1241774
Terraform,8130,307.8962468
Terraform,9652,299.5500531
Terraform,8007,226.7449675
Terraform,8284,226.0561936
Terraform,3082,70.90617775
Terraform,6118,65.81218732
Terraform,3790,-155.0586806
Mutant Ape Yacht Club,11913,17.85222692
Mutant Ape Yacht Club,13080,14.22380512
Mutant Ape Yacht Club,4719,6.633831966
Mutant Ape Yacht Club,9741,2.853777202
Mutant Ape Yacht Club,11324,1.27639772
Mutant Ape Yacht Club,5076,0.745140672
Mutant Ape Yacht Club,8412,0.347017376
Mutant Ape Yacht Club,2136,0.33126933
Mutant Ape Yacht Club,5608,0.239023104
Mutant Ape Yacht Club,9123,0.232835015
Mutant Ape Yacht Club,2123,0.126179841
Mutant Ape Yacht Club,11476,0.113561366
Mutant Ape Yacht Club,1513,0.11116202
Mutant Ape Yacht Club,2669,0.095976872
Mutant Ape Yacht Club,8541,0.064306455
Mutant Ape Yacht Club,3949,0.051579801
Mutant Ape Yacht Club,6541,0.049275007
Mutant Ape Yacht Club,3610,0.047735163
Mutant Ape Yacht Club,9870,0.047475532
Mutant Ape Yacht Club,1344,-12.0797351
Meebits,9228,4683.725878
Meebits,19564,2962.937488
Meebits,689,2918.54829
